,Educational,Hunting trophy,Law enforcement,Medica,Personal,Circus/travelling exhibition,Scientific,Commercial,Unknown
AUSTRALIA,0,0,0,0,43,21,0,17,0
BELGIUM,1,0,0,0,18,8,0,53,0
CANADA,1,0,0,0,42,25,0,22,0
SWITZERLAND,2,0,0,0,42,34,6,93,0
GERMANY,0,0,0,0,70,29,0,82,0
SPAIN,6,0,0,0,26,8,0,28,0
FRANCE,7,0,0,0,37,55,0,129,0
UNITED KINGDOM,10,0,0,1,94,50,0,228,0
UNITED STATES,3,0,7,0,70,106,0,56,0
SOUTH AFRICA,0,4,0,0,63,3,3,4,0
JAPAN,0,0,0,0,0,0,0,0,78
NEW ZEALAND,0,0,0,0,0,0,0,0,71
ITALY,0,0,0,0,0,0,0,0,150
AUSTRIA,0,0,0,0,0,0,0,0,108
CHINA,0,0,0,0,0,0,0,0,69
