id,name,ADM0_A3,Educational,Hunting trophy,Law enforcement,Medica,Personal,Circus/travelling exhibition,Scientific,Commercial,Unknown
0,AUSTRALIA,AUS,0 ,0 ,0 ,0 ,43 ,21 ,0 ,17 ,0 
1,BELGIUM,BEL,1 ,0 ,0 ,0 ,18 ,8 ,0 ,53 ,0 
2,CANADA,CAN,1 ,0 ,0 ,0 ,42 ,25 ,0 ,22 ,0 
3,SWITZERLAND,CHE,2 ,0 ,0 ,0 ,42 ,34 ,6 ,93 ,0 
4,GERMANY,DEU,0 ,0 ,0 ,0 ,70 ,29 ,0 ,82 ,0 
5,SPAIN,ESP,6 ,0 ,0 ,0 ,26 ,8 ,0 ,28 ,0 
6,FRANCE,FRA,7 ,0 ,0 ,0 ,37 ,55 ,0 ,129 ,0 
7,UNITED KINGDOM,GBR,10 ,0 ,0 ,1 ,94 ,50 ,0 ,228 ,0 
8,UNITED STATES OF AMERICA,USA,3 ,0 ,7 ,0 ,70 ,106 ,0 ,56 ,0 
9,SOUTH AFRICA,ZAF,0 ,4 ,0 ,0 ,63 ,3 ,3 ,4 ,0 
10,JAPAN,JPN,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,78 
11,NEW ZEALAND,NZL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,71 
12,ITALY,ITA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,150 
13,AUSTRIA,AUT,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,108 
14,CHINA,CHN,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,69 
